,ds,y,date,time
0,2022-06-08 19:00,1046.66,2022-06-08,19:00:00
1,2022-06-08 20:00,970.25,2022-06-08,20:00:00
2,2022-06-08 21:00,932.99,2022-06-08,21:00:00
3,2022-06-08 22:00,904.78,2022-06-08,22:00:00
4,2022-06-08 23:00,517.26,2022-06-08,23:00:00
5,2022-06-09 00:00,372.23,2022-06-09,00:00:00
6,2022-06-09 01:00,333.57,2022-06-09,01:00:00
7,2022-06-09 02:00,248.1,2022-06-09,02:00:00
8,2022-06-09 03:00,241.24,2022-06-09,03:00:00
9,2022-06-09 04:00,232.74,2022-06-09,04:00:00
10,2022-06-09 05:00,249.9,2022-06-09,05:00:00
11,2022-06-09 06:00,283.1,2022-06-09,06:00:00
12,2022-06-09 07:00,1088.7,2022-06-09,07:00:00
13,2022-06-09 08:00,1029.53,2022-06-09,08:00:00
14,2022-06-09 09:00,1295.81,2022-06-09,09:00:00
15,2022-06-09 10:00,1257.21,2022-06-09,10:00:00
16,2022-06-09 11:00,1225.84,2022-06-09,11:00:00
17,2022-06-09 12:00,1228.14,2022-06-09,12:00:00
18,2022-06-09 13:00,1183.57,2022-06-09,13:00:00
19,2022-06-09 14:00,1257.5,2022-06-09,14:00:00
20,2022-06-09 15:00,1341.97,2022-06-09,15:00:00
21,2022-06-09 16:00,1423.49,2022-06-09,16:00:00
22,2022-06-09 17:00,1263.85,2022-06-09,17:00:00
23,2022-06-09 18:00,1092.37,2022-06-09,18:00:00
24,2022-06-09 19:00,996.48,2022-06-09,19:00:00
25,2022-06-09 20:00,875.05,2022-06-09,20:00:00
26,2022-06-09 21:00,963.12,2022-06-09,21:00:00
27,2022-06-09 22:00,908.825,2022-06-09,22:00:00
28,2022-06-09 23:00,401.71,2022-06-09,23:00:00
29,2022-06-10 00:00,347.09,2022-06-10,00:00:00
30,2022-06-10 01:00,313.98,2022-06-10,01:00:00
31,2022-06-10 02:00,216.93,2022-06-10,02:00:00
32,2022-06-10 03:00,211.64,2022-06-10,03:00:00
33,2022-06-10 04:00,205.37,2022-06-10,04:00:00
34,2022-06-10 05:00,208.5,2022-06-10,05:00:00
35,2022-06-10 06:00,227.08,2022-06-10,06:00:00
36,2022-06-10 07:00,952.2,2022-06-10,07:00:00
37,2022-06-10 08:00,1045.01,2022-06-10,08:00:00
38,2022-06-10 09:00,1254.54,2022-06-10,09:00:00
39,2022-06-10 10:00,1318.2,2022-06-10,10:00:00
40,2022-06-10 11:00,1310.7,2022-06-10,11:00:00
41,2022-06-10 12:00,1351.97,2022-06-10,12:00:00
42,2022-06-10 13:00,1321.93,2022-06-10,13:00:00
43,2022-06-10 14:00,1284.34,2022-06-10,14:00:00
44,2022-06-10 15:00,1302.35,2022-06-10,15:00:00
45,2022-06-10 16:00,1290.05,2022-06-10,16:00:00
46,2022-06-10 17:00,1153.61,2022-06-10,17:00:00
47,2022-06-10 18:00,1026.09,2022-06-10,18:00:00
48,2022-06-10 19:00,926.41,2022-06-10,19:00:00
49,2022-06-10 20:00,875.91,2022-06-10,20:00:00
50,2022-06-10 21:00,888.29,2022-06-10,21:00:00
51,2022-06-10 22:00,887.0,2022-06-10,22:00:00
52,2022-06-10 23:00,685.62,2022-06-10,23:00:00
53,2022-06-11 00:00,335.99,2022-06-11,00:00:00
54,2022-06-11 01:00,308.65,2022-06-11,01:00:00
55,2022-06-11 02:00,220.6,2022-06-11,02:00:00
56,2022-06-11 03:00,218.11,2022-06-11,03:00:00
57,2022-06-11 04:00,219.6,2022-06-11,04:00:00
58,2022-06-11 05:00,220.53,2022-06-11,05:00:00
59,2022-06-11 06:00,280.39,2022-06-11,06:00:00
60,2022-06-11 07:00,963.59,2022-06-11,07:00:00
61,2022-06-11 08:00,880.04,2022-06-11,08:00:00
62,2022-06-11 09:00,1094.38,2022-06-11,09:00:00
63,2022-06-11 10:00,1111.51,2022-06-11,10:00:00
64,2022-06-11 11:00,1130.53,2022-06-11,11:00:00
65,2022-06-11 12:00,1120.13,2022-06-11,12:00:00
66,2022-06-11 13:00,1050.43,2022-06-11,13:00:00
67,2022-06-11 14:00,1088.54,2022-06-11,14:00:00
68,2022-06-11 15:00,1103.46,2022-06-11,15:00:00
69,2022-06-11 16:00,1061.27,2022-06-11,16:00:00
70,2022-06-11 17:00,1054.63,2022-06-11,17:00:00
71,2022-06-11 18:00,975.94,2022-06-11,18:00:00
72,2022-06-11 19:00,977.8,2022-06-11,19:00:00
73,2022-06-11 20:00,937.77,2022-06-11,20:00:00
74,2022-06-11 21:00,963.12,2022-06-11,21:00:00
75,2022-06-11 22:00,908.825,2022-06-11,22:00:00
76,2022-06-11 23:00,394.32,2022-06-11,23:00:00
77,2022-06-12 00:00,333.81,2022-06-12,00:00:00
78,2022-06-12 01:00,295.53,2022-06-12,01:00:00
79,2022-06-12 02:00,207.29,2022-06-12,02:00:00
80,2022-06-12 03:00,212.81,2022-06-12,03:00:00
81,2022-06-12 04:00,201.16,2022-06-12,04:00:00
82,2022-06-12 05:00,197.35,2022-06-12,05:00:00
83,2022-06-12 06:00,218.59,2022-06-12,06:00:00
84,2022-06-12 07:00,864.23,2022-06-12,07:00:00
85,2022-06-12 08:00,873.97,2022-06-12,08:00:00
86,2022-06-12 09:00,971.56,2022-06-12,09:00:00
87,2022-06-12 10:00,1088.79,2022-06-12,10:00:00
88,2022-06-12 11:00,1115.43,2022-06-12,11:00:00
89,2022-06-12 12:00,1227.72,2022-06-12,12:00:00
90,2022-06-12 13:00,1203.56,2022-06-12,13:00:00
91,2022-06-12 14:00,1317.43,2022-06-12,14:00:00
92,2022-06-12 15:00,1171.54,2022-06-12,15:00:00
93,2022-06-12 16:00,1365.96,2022-06-12,16:00:00
94,2022-06-12 17:00,1354.5,2022-06-12,17:00:00
95,2022-06-12 18:00,1208.19,2022-06-12,18:00:00
96,2022-06-12 19:00,1139.59,2022-06-12,19:00:00
97,2022-06-12 20:00,1035.47,2022-06-12,20:00:00
98,2022-06-12 21:00,1011.9,2022-06-12,21:00:00
99,2022-06-12 22:00,975.66,2022-06-12,22:00:00
100,2022-06-12 23:00,432.24,2022-06-12,23:00:00
101,2022-06-13 00:00,341.56,2022-06-13,00:00:00
102,2022-06-13 01:00,311.8,2022-06-13,01:00:00
103,2022-06-13 02:00,215.0,2022-06-13,02:00:00
104,2022-06-13 03:00,218.65,2022-06-13,03:00:00
105,2022-06-13 04:00,212.03,2022-06-13,04:00:00
106,2022-06-13 05:00,214.12,2022-06-13,05:00:00
107,2022-06-13 06:00,220.86,2022-06-13,06:00:00
108,2022-06-13 07:00,1048.43,2022-06-13,07:00:00
109,2022-06-13 08:00,1203.72,2022-06-13,08:00:00
110,2022-06-13 09:00,1415.66,2022-06-13,09:00:00
111,2022-06-13 10:00,1452.82,2022-06-13,10:00:00
112,2022-06-13 11:00,1471.53,2022-06-13,11:00:00
113,2022-06-13 12:00,1508.11,2022-06-13,12:00:00
114,2022-06-13 13:00,1497.21,2022-06-13,13:00:00
115,2022-06-13 14:00,1532.64,2022-06-13,14:00:00
116,2022-06-13 15:00,1540.75,2022-06-13,15:00:00
117,2022-06-13 16:00,1556.56,2022-06-13,16:00:00
118,2022-06-13 17:00,1491.14,2022-06-13,17:00:00
119,2022-06-13 18:00,1401.14,2022-06-13,18:00:00
120,2022-06-13 19:00,1135.49,2022-06-13,19:00:00
121,2022-06-13 20:00,1053.91,2022-06-13,20:00:00
122,2022-06-13 21:00,993.25,2022-06-13,21:00:00
123,2022-06-13 22:00,943.91,2022-06-13,22:00:00
124,2022-06-13 23:00,518.27,2022-06-13,23:00:00
125,2022-06-14 00:00,500.7,2022-06-14,00:00:00
126,2022-06-14 01:00,314.08,2022-06-14,01:00:00
127,2022-06-14 02:00,226.44,2022-06-14,02:00:00
128,2022-06-14 03:00,228.25,2022-06-14,03:00:00
129,2022-06-14 04:00,215.19,2022-06-14,04:00:00
130,2022-06-14 05:00,212.18,2022-06-14,05:00:00
131,2022-06-14 06:00,309.89,2022-06-14,06:00:00
132,2022-06-14 07:00,1042.64,2022-06-14,07:00:00
133,2022-06-14 08:00,1120.03,2022-06-14,08:00:00
134,2022-06-14 09:00,1521.8,2022-06-14,09:00:00
135,2022-06-14 10:00,1569.21,2022-06-14,10:00:00
136,2022-06-14 11:00,1602.92,2022-06-14,11:00:00
137,2022-06-14 12:00,1608.05,2022-06-14,12:00:00
138,2022-06-14 13:00,1624.93,2022-06-14,13:00:00
139,2022-06-14 14:00,1657.07,2022-06-14,14:00:00
140,2022-06-14 15:00,1685.59,2022-06-14,15:00:00
141,2022-06-14 16:00,1673.37,2022-06-14,16:00:00
142,2022-06-14 17:00,1517.63,2022-06-14,17:00:00
143,2022-06-14 18:00,1416.83,2022-06-14,18:00:00
144,2022-06-14 19:00,1403.79,2022-06-14,19:00:00
145,2022-06-14 20:00,1279.78,2022-06-14,20:00:00
146,2022-06-14 21:00,1042.02,2022-06-14,21:00:00
147,2022-06-14 22:00,971.75,2022-06-14,22:00:00
148,2022-06-14 23:00,518.27,2022-06-14,23:00:00
149,2022-06-15 00:00,379.78,2022-06-15,00:00:00
150,2022-06-15 01:00,323.825,2022-06-15,01:00:00
151,2022-06-15 02:00,231.14,2022-06-15,02:00:00
152,2022-06-15 03:00,263.26,2022-06-15,03:00:00
153,2022-06-15 04:00,249.47,2022-06-15,04:00:00
154,2022-06-15 05:00,266.99,2022-06-15,05:00:00
155,2022-06-15 06:00,335.46,2022-06-15,06:00:00
156,2022-06-15 07:00,1131.87,2022-06-15,07:00:00
157,2022-06-15 08:00,1250.44,2022-06-15,08:00:00
158,2022-06-15 09:00,1573.82,2022-06-15,09:00:00
159,2022-06-15 10:00,1629.25,2022-06-15,10:00:00
160,2022-06-15 11:00,1643.28,2022-06-15,11:00:00
161,2022-06-15 12:00,1645.94,2022-06-15,12:00:00
162,2022-06-15 13:00,1665.77,2022-06-15,13:00:00
163,2022-06-15 14:00,1689.45,2022-06-15,14:00:00
164,2022-06-15 15:00,1714.63,2022-06-15,15:00:00
165,2022-06-15 16:00,1687.21,2022-06-15,16:00:00
166,2022-06-15 17:00,1498.65,2022-06-15,17:00:00
167,2022-06-15 18:00,1444.1,2022-06-15,18:00:00
